Solibacteres bacterium,2081523
Solibacteres bacterium 12-62-4,1970571
Solibacteres bacterium SbA2,2043162
Solibacteres bacterium UBA6623,1948748
Thermotomaculum hydrothermale,981385
Acidobacteria subdivision 13 bacterium RH2 MAG17b,1985431
Acidobacteria subdivision 2 bacterium RH1 MAG20,1985433
Acidobacteria bacterium Mor1,1660251
Thermoanaerobaculum aquaticum,1312852
Luteitalea pratensis,1855912
Vicinamibacter silvestris,1612172
Acidobacteria bacterium,1978231
Acidobacteria bacterium 01QDG,570303
Acidobacteria bacterium 01QDH_23S,570304
Acidobacteria bacterium 13_1_20CM_2_55_15,1803424
Acidobacteria bacterium 13_1_20CM_2_57_8,1803425
Acidobacteria bacterium 13_1_20CM_2_59_6,1803426
Acidobacteria bacterium 13_1_20CM_2_60_10,1803427
Acidobacteria bacterium 13_1_20CM_2_65_9,1803428
Acidobacteria bacterium 13_1_20CM_2_68_14,1803429
Acidobacteria bacterium 13_1_20CM_2_68_7,1803430
Acidobacteria bacterium 13_1_20CM_3_53_8,1803431
Acidobacteria bacterium 13_1_20CM_3_58_11,1803432
Acidobacteria bacterium 13_1_20CM_3_58_5,1803433
Acidobacteria bacterium 13_1_20CM_4_56_7,1803434
Acidobacteria bacterium 13_1_20CM_4_57_11,1803435
Acidobacteria bacterium 13_1_20CM_4_58_6,1803436
Acidobacteria bacterium 13_1_20CM_56_12,1803437
Acidobacteria bacterium 13_1_20CM_58_21,1803438
Acidobacteria bacterium 13_1_20CM_65_14,1803439
Acidobacteria bacterium 13_1_40CM_2_56_11,1803440
Acidobacteria bacterium 13_1_40CM_2_56_5,1803441
Acidobacteria bacterium 13_1_40CM_2_59_4,1803442
Acidobacteria bacterium 13_1_40CM_2_60_7,1803443
Acidobacteria bacterium 13_1_40CM_2_64_6,1803444
Acidobacteria bacterium 13_1_40CM_2_68_10,1803445
Acidobacteria bacterium 13_1_40CM_2_68_5,1803446
Acidobacteria bacterium 13_1_40CM_3_55_6,1803447
Acidobacteria bacterium 13_1_40CM_3_56_11,1803448
Acidobacteria bacterium 13_1_40CM_3_59_4,1803449
Acidobacteria bacterium 13_1_40CM_3_65_5,1803450
Acidobacteria bacterium 13_1_40CM_4_56_10,1803451
Acidobacteria bacterium 13_1_40CM_4_57_6,1803452
Acidobacteria bacterium 13_1_40CM_4_58_4,1803453
Acidobacteria bacterium 13_1_40CM_4_59_4,1803454
Acidobacteria bacterium 13_1_40CM_4_61_5,1803455
Acidobacteria bacterium 13_1_40CM_4_65_8,1803456
Acidobacteria bacterium 13_1_40CM_4_69_4,1803457
Acidobacteria bacterium 13_1_40CM_56_16,1803458
Acidobacteria bacterium 13_1_40CM_65_14,1803459
Acidobacteria bacterium 13_2_20CM_2_57_12,1803460
Acidobacteria bacterium 13_2_20CM_2_57_6,1803461
Acidobacteria bacterium 13_2_20CM_2_66_4,1803462
Acidobacteria bacterium 13_2_20CM_56_17,1803463
Acidobacteria bacterium 13_2_20CM_57_17,1803464
Acidobacteria bacterium 13_2_20CM_57_7,1803465
Acidobacteria bacterium 13_2_20CM_58_27,1803466
Acidobacteria bacterium 21-70-11,1970485
Acidobacteria bacterium 28-1,1962177
Acidobacteria bacterium 28-9,1962176
Acidobacteria bacterium 37-65-4,1970486
Acidobacteria bacterium 37-71-11,1970487
Acidobacteria bacterium 5-1,1962178
Acidobacteria bacterium AB158,1230842
Acidobacteria bacterium AB20,1230843
Acidobacteria bacterium AB23,1230844
Acidobacteria bacterium AB39,1230845
Acidobacteria bacterium AB60,1230846
Acidobacteria bacterium ADurb.Bin051,1852786
Acidobacteria bacterium ADurb.Bin340,1852787
Acidobacteria bacterium AL,474947
Acidobacteria bacterium bin61,1916148
Acidobacteria bacterium CB 286305,1639884
Acidobacteria bacterium CB 286306,1639885
Acidobacteria bacterium CB 286339,1639886
Acidobacteria bacterium CB 286367,1639887
Acidobacteria bacterium CCO287,936891
Acidobacteria bacterium CG_4_9_14_3_um_filter_49_7,1973888
Acidobacteria bacterium CHC25,678867
Acidobacteria bacterium CSP2_16ft_2_68_12,2017447
Acidobacteria bacterium CU2,998188
Acidobacteria bacterium DG1540,1337833
Acidobacteria bacterium Ellin5413,305073
Acidobacteria bacterium Ellin7137,305074
Acidobacteria bacterium Ellin7171,305075
Acidobacteria bacterium Ellin7176,305076
Acidobacteria bacterium Ellin7184,305077
Acidobacteria bacterium Ellin7185,305078
Acidobacteria bacterium Ellin7188,305079
Acidobacteria bacterium Ellin7190,305080
Acidobacteria bacterium Ellin7193,305081
Acidobacteria bacterium Ellin7194,305082
Acidobacteria bacterium Ellin7195,305083
Acidobacteria bacterium Ellin7196,305084
Acidobacteria bacterium Ellin7221,305085
Acidobacteria bacterium Ellin7225,305086
Acidobacteria bacterium Ellin7243,305087
Acidobacteria bacterium Ellin7246,305088
Acidobacteria bacterium Ellin7249,305089
Acidobacteria bacterium Ga0074141,1752182
Acidobacteria bacterium Ga0077522,1752183
Acidobacteria bacterium Ga0077534,1752184
Acidobacteria bacterium Ga0077551,1752185
Acidobacteria bacterium Ga0077553,1752186
Acidobacteria bacterium GP1,1190410
Acidobacteria bacterium IGE-001,755192
Acidobacteria bacterium IGE-002,755196
Acidobacteria bacterium IGE-003,755186
Acidobacteria bacterium IGE-004,755185
Acidobacteria bacterium IGE-005,755189
Acidobacteria bacterium IGE-006,755182
Acidobacteria bacterium IGE-007,755179
Acidobacteria bacterium IGE-008,755181
Acidobacteria bacterium IGE-009,755180
Acidobacteria bacterium IGE-010,755187
Acidobacteria bacterium IGE-011,755183
Acidobacteria bacterium IGE-012,755184
Acidobacteria bacterium IGE-013,755194
Acidobacteria bacterium IGE-014,755193
Acidobacteria bacterium IGE-015,755190
Acidobacteria bacterium IGE-016,755191
Acidobacteria bacterium IGE-017,755188
Acidobacteria bacterium IGE-018,755195
Acidobacteria bacterium IP-20G,1785894
Acidobacteria bacterium IP-28A,1785895
Acidobacteria bacterium IP-33G,1785896
Acidobacteria bacterium IP-42G,1785897
Acidobacteria bacterium IPR-21A,1785898
Acidobacteria bacterium IPR-39A,1785899
Acidobacteria bacterium IPR-55A,1785900
Acidobacteria bacterium Jbg53,495818
Acidobacteria bacterium JGI 0001001-H03,1235986
Acidobacteria bacterium JGI 0001001-H3,1094949
Acidobacteria bacterium JGI E05_039,1448994
Acidobacteria bacterium JGI F07_053,1448086
Acidobacteria bacterium JGI M3C4D3-002-K14,1978341
Acidobacteria bacterium JGI SII2013a,1469944
Acidobacteria bacterium JGI SII2013b,1469946
